Angle[deg] Tangential_modulation Pressure_cycle_[MPa] Tangential_pressure[MPa]
7.646484374999999 0.17058889051207857 20.637047937466654 3.520451111097016
7.734375000000001 0.17252933924853714 20.634389123718314 3.560037521312322
7.822265625000001 0.1744690932406489 20.630644228142557 3.599409791454459
7.91015625 0.17640814474834854 20.625126127262803 3.638440235311122
7.998046875 0.17834648603677195 20.62001637685102 3.677507462832069
8.0859375 0.18028410937631273 20.615725918401807 3.7166877863452368
8.173828125 0.18222100704267774 20.609712742732093 3.75552261084095
8.26171875 0.18415717131694292 20.60213435023916 3.794030785031668
8.349609375 0.1860925944856092 20.591830918608487 3.8319872408528384
8.4375 0.18802726884065793 20.581686492025284 3.869918299230176
8.525390625 0.18996118667960657 20.57117559686764 3.907724927775541
8.61328125 0.19189434030556402 20.560379458933873 3.9454204527041847
